item_name,text,type,answers,values,mq_social,mq_general,optional,btn_width,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>,instruct,,,,,,,
,"I obtain news regarding covid-19 from Facebook ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ2,"I obtain news regarding covid-19 from Twitter ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ3,"I obtain news regarding covid-19 from Snapchat ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ4,I obtain news regarding covid-19 from WhatsApp,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ5,I obtain news regarding covid-19 from Instagram,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ6,I obtain news regarding covid-19 from other other social media application(s),likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ6_other,"If you agreed, please specify which application(s)",text,,,,,yes,,
CQ7,"I check the government statistics regarding covid-19 ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
CQ8,"I share information regarding covid-19 on Facebook ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ9,"I share information regarding covid-19 on Twitter ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ10,"I share information regarding covid-19 on Snapchat ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ11,"I share information regarding covid-19 on WhatsApp ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ12,"I share information regarding covid-19 on Instagram ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ13,I share information regarding covid-19 on other social media application(s),likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ13_other,"If you agreed, please specify which application(s)",text,,,,,yes,,
CQ14,"I rely on my family/friends to post about covid-19 for information ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,1,,no,100px,
CQ15,"I obtain news regarding covid-19 online from bbc.co.uk ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
CQ16,I obtain news regarding covid-19 online from the thedailymail.co.uk,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
CQ17,I obtain news regarding covid-19 online from theguardian.com,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
CQ18,I obtain news regarding covid-19 online from express.co.uk,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
CQ19,"I obtain news regarding covid-19 online from thesun.co.uk ",likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
CQ20,I obtain news regarding covid-19 online from other mainstream news outlets,likert,Strongly Disagree|Somewhat Disagree|Somewhat Agree|Strongly Agree,0|1|2|3,,1,no,100px,
CQ20_other,"If you agreed, please specify which outlet(s)",text,,,,,yes,,
CQ21,I read academic publications regarding covid-19?,likert,Strongly Agree|Somewhat Agree|Somewhat Disagree| Strongly Disagree,1|1|0|0,,1,no,100px,
CQ22,I obtain news regarding covid-19 from newspapers (if so which newspaper?),likert,Strongly Agree|Somewhat Agree|Somewhat Disagree| Strongly Disagree,1|1|0|0,,1,no,100px,
CQ22_other,,text,,,,,yes,,
,,,,,,,,,