item_name,text,type,answers,values,btn_width,score:problem_solving,score:seeking_social_support,score:avoidance,optional,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>
  
  <!-- With the last 2 years and COVID-19 in mind, -->

<span style='color:#ff0000'><u><b>During the COVID-19 pandemic,</b></u></span> indicate to what extent you...</span></span>",instruct,,,,,,,,
csi_1,Let your feelings out to a friend?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_2,Rearranged things around you so that your problem had the best chance of being resolved?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_3,Brainstormed all possible solutions before deciding what do to?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_4,Tried to distract yourself from the problem?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_5,Accepted sympathy and understanding from someone?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_6,Did all you could to keep others from seeing how bad things really were?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_7,Talked to people about the situation because talking about it helped you to feel better?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_8,Set some goals for yourself to deal with the situation?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_9,Weighed your options very carefully?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_10,Daydreamed about better times?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_11,Tried different ways to solve the problem until you found one that worked?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_12,Confided your fears and worries to a friend or relative?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_13,Spent more time than usual alone?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_14,Told people about the situation because just talking about it helped you to come up with solutions?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_15,Thought about what needed to be done to straighten things out?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_16,Turned your full attention to solving the problem?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_17,Formed a plan of action in your mind?,likert,A lot|A little|Not at all,3|2|1,100px,,,,no,
csi_18,"Watched television more than usual? ",likert,A lot|A little|Not at all,3|2|1,100px,1,,1,no,
csi_19,Went to someone (friend or professional) in order to help you feel better?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_20,"Stood firm and fought for what you wanted in the situation? ",likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_21,Avoided being with people in general?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_22,Buried yourself in a hobby or sports activity to avoid the problem?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_23,Went to a friend to help you feel better about the problem?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_24,"Went to a friend for advice on how to change the situation? ",likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_25,Accepted sympathy and understanding from friends who had the same problem?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_26,Slept more than usual?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_27,Fantasized about how things could have been different?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_28,Identified with characters in novels or movies?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_29,Tried to solve the problem?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
csi_30,Wished that people would just leave you alone?,likert,A lot|A little|Not at all,3|2|1,100px,,,1,no,
csi_31,Accepted help from a friend or relative?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_32,Sought reassurance from those who know you best?,likert,A lot|A little|Not at all,3|2|1,100px,,1,,no,
csi_33,Tried to carefully plan a course of action rather than acting on impulse?,likert,A lot|A little|Not at all,3|2|1,100px,1,,,no,
,,,,,,,,,,