item_name,text,type,answers,optional,values,side_by_side,btn_width,
Gender,Gender,likert,Female|Male|Other,no,,yes,100px,
Age,Age,number,,no,,,,
Education,"Education (which level are you currently in, or is the highest you've completed)",dropdown,"Some high school| High school graduate| Some college, no degree| Associate's degree| Bachelor's degree|Graduate degree (Master's, Doctorate, etc.)",no,,,,
English_Fluency,Do you speak English fluently?,likert,Yes|No,no,,yes,200px,
English_Age,"At what age did you start learning English? (write ""0"" if from birth)",number,,no,,,,
Country,What is your country of residence?,text,,no,,,,
Handedness,What is your preferred hand?,likert,Left|Right|Both,no,,yes,100px,
Ethnicity,Please state your ethnicity,dropdown,Asian|Black|Caucasian|Hispanic|Other,no,,yes,100px,
Other,"If you've answered other, please state your ethnicity (including mixed ethnicities)",text,,no,,,,
,,,,,,,,