item_name,text,type,answers,values,score:stai_last_month,optional,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>Read each statement and select the appropriate response to indicate how you felt <b><u><span style='color:#ea0606'>over the last 4 weeks</span></u></b>. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your feelings best.
</span></span>",instruct,,,,,,
stai_1,I felt calm,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_2,I felt secure,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_3,I felt tense,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_4,I felt strained,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_5,I felt at ease,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_6,I felt upset,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_7,I worried over possible misfortunes,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_8,I felt satisfied,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_9,I felt frightened,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_10,I felt uncomfortable,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_11,I felt self-confident,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_12,I felt nervous,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_13,I felt jittery,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_14,I felt indecisive,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_15,I was relaxed,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_16,I felt content,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_17,I was worried,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_18,I felt confused,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,1,no,150px,
stai_19,I felt steady,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
stai_20,I felt pleasant,likert,Not at all|A little|Somewhat|Very Much So,0|1|2|3|4,r1,no,150px,
,,,,,,,,